,en_name,cn_name,link
1,Bai Xiaomo,白小墨,https://www.yaogun.com/artist/chengdu/baixiaomo.htm
2,Ceng Tai,曾泰,https://www.yaogun.com/artist/chengdu/cengtai.htm
3,Chen Di,陳滌,https://www.yaogun.com/artist/chengdu/chendi.htm
4,Curepunk,盧小旭,https://www.yaogun.com/artist/chengdu/luxiaoxu.htm
5,DJ Q9,DJ Q9,https://www.yaogun.com/artist/chengdu/djq9.htm
6,Dongqi,董奇,https://www.yaogun.com/artist/chengdu/dongqi.htm
7,Doudou,杜雨鬥,https://www.yaogun.com/artist/chengdu/doudou.htm
8,Duan Yi,段毅,https://www.yaogun.com/artist/chengdu/duanyi.htm
9,Fengchu,鳳雛,https://www.yaogun.com/artist/chengdu/fengchu.htm
10,Gou Wei,苟偉,https://www.yaogun.com/artist/chengdu/gouwei.htm
11,Greenwall,五天,https://www.yaogun.com/artist/chengdu/greenwall.htm
12,Huang Jin,黄錦,https://www.yaogun.com/artist/chengdu/huangjin.htm
13,Huang Jing,黄靖,https://www.yaogun.com/artist/chengdu/huangjing.htm
14,Huan Qing,歡慶,https://www.yaogun.com/artist/chengdu/huanqing.htm
15,Hu Xiaohai,胡曉海/胡小海,https://www.yaogun.com/artist/chengdu/huxiaohai.htm
16,Jiang Heng,AT星系,https://www.yaogun.com/artist/chengdu/jiangheng.htm
17,Kasasis/Wang Sanpu,王三溥,https://www.yaogun.com/artist/chengdu/wangsanpu.htm
18,Liang Peng,梁鵬,https://www.yaogun.com/artist/chengdu/liangpeng.htm
19,Li Kun,李［王昆］,https://www.yaogun.com/artist/chengdu/likun.htm
20,Liu Rongxia,劉蓉霞,https://www.yaogun.com/artist/chengdu/liurongxia.htm
21,Liu Wei,劉威,https://www.yaogun.com/artist/chengdu/liuwei.htm
22,Liu Zhiyong,劉志勇,https://www.yaogun.com/artist/chengdu/gefei.htm
23,Luo Yousheng,酉酉,https://www.yaogun.com/artist/chengdu/luoyousheng.htm
24,Mada,馬達,https://www.yaogun.com/artist/chengdu/mada.htm
25,Ma Yingdong,馬英東,https://www.yaogun.com/artist/chengdu/mayingdong.htm
26,Meng Han,孟[日含],https://www.yaogun.com/artist/chengdu/menghan.htm
27,Minguangjunqiang,証據,https://www.yaogun.com/artist/chengdu/mgjq.htm
28,Ou Bo,歐波,https://www.yaogun.com/artist/chengdu/oubo.htm
29,Ranwei,冉爲,https://www.yaogun.com/artist/chengdu/ranwei.htm
30,Rao Rong,繞容,https://www.yaogun.com/artist/chengdu/raorong.htm
31,Ren Han,任罕,https://www.yaogun.com/artist/chengdu/renhan.htm
32,Shuzi,樹子,https://www.yaogun.com/artist/chengdu/shuzi.htm
33,Tairan,泰然,https://www.yaogun.com/artist/chengdu/tairan.htm
34,Wang Binquan,王彬全,https://www.yaogun.com/artist/chengdu/wangbinquan.htm
35,Wang Qian,王前,https://www.yaogun.com/artist/chengdu/wangqian.htm
36,Wang Zhiqiang,王志強,https://www.yaogun.com/artist/chengdu/wangzhiqiang.htm
37,Wei Xiaoshi,魏小石,https://www.yaogun.com/artist/chengdu/weixiaoshi.htm
38,Wu Zhuoling,呉卓玲,https://www.yaogun.com/artist/chengdu/wuzhuoling.htm
