,en_name,cn_name,link
1,Chun,胡春江,chongqing/chun.htm
2,Gao Tianxing,高天星,chongqing/gaotianxing.htm
3,Geng Yun,耿雲,chongqing/gengyun.htm
4,Huang Xiaojia,黄曉嘉,chongqing/huangxiaojia.htm
5,Kun Peng,坤鵬,chongqing/kunpeng.htm
6,Li Guo,李果,chongqing/liguo.htm
7,Liu Yang,劉陽,chongqing/liuyang.htm
8,Li Yu,風暴,chongqing/liyu.htm
9,Long Jun,龍俊,chongqing/longjun.htm
10,Luo Wei,駱偉,chongqing/luowei.htm
11,7jz,7jz,chongqing/7jz.htm
12,Ranzhen,冉鎭,chongqing/ranzhen.htm
13,Shu Yang,舒楊,chongqing/shuyang.htm
14,Si Jie,思傑,chongqing/sijie.htm
15,Si Yutao,斯宇濤,chongqing/siyutao.htm
16,Taomei,陶妹,chongqing/taomei.htm
17,Wang Qiancheng,王前程,chongqing/wangqiancheng.htm
18,X76/Xia Tao/Xia Haoyuan,X76/夏濤/夏浩源,chongqing/x76.htm
19,Yang Ya,楊亞,chongqing/yangya.htm
20,Yu Chang,余昌,chongqing/yuchang.htm
21,Zhang Jue,張［ｲ寉］,chongqing/zhangjue.htm
22,Zhang Wei,張嵬,chongqing/zhangwei.htm
23,Zhao Wei,趙偉,chongqing/zhaowei.htm
24,Zhao Yan,趙硯,chongqing/zhaoyan.htm
25,Accidental-Collision,意外衝突,chongqing/yiwaichongtu.htm
26,Aiyue,愛樂,chongqing/aiyue.htm
27,Anhei,暗黒,chongqing/anhei.htm
28,Anke,安可,chongqing/anke.htm
29,Anying,暗影,chongqing/anying.htm
30,Aoxiang,［皋羽］翔,chongqing/aoxiang.htm
31,Ark,ARK,chongqing/ark.htm
32,Assasigrift/Ansha,破殻,chongqing/ansha.htm
33,Babieta,巴別塔,chongqing/babieta.htm
34,Banjianfang,半間房,chongqing/banjianfang.htm
35,Baogongtou,包工頭,chongqing/baogongtou.htm
