,en_name,cn_name,link
1,Ajian,阿鍵,https://www.yaogun.com/artist/shijiazhuang/ajian.htm
2,Bi Zhifeng,紫色的薔薇,https://www.yaogun.com/artist/shijiazhuang/bizhifeng.htm
3,Black Blood/Heixue,黒血,https://www.yaogun.com/artist/shijiazhuang/heixue.htm
4,Cui lvbo/Cui Xudong,崔濾波/崔旭東,https://www.yaogun.com/artist/shijiazhuang/cuixudong.htm
5,Ding Yue,無病呻吟,https://www.yaogun.com/artist/shijiazhuang/dingyue.htm
6,Du Qingquan,杜清泉,https://www.yaogun.com/artist/shijiazhuang/duqingquan.htm
7,Feng Jiang,馮江,https://www.yaogun.com/artist/shijiazhuang/fengjiang.htm
8,He Weijia,新大陸,https://www.yaogun.com/artist/shijiazhuang/heweijia.htm
9,Li Huaining,李懐寧,https://www.yaogun.com/artist/shijiazhuang/lihuaining.htm
10,Liu Chenghu,劉程虎,https://www.yaogun.com/artist/shijiazhuang/liuchenghu.htm
11,Liu Hezhen,劉和珍,https://www.yaogun.com/artist/shijiazhuang/liuhezhen.htm
12,Ma Ji,中撃者,https://www.yaogun.com/artist/shijiazhuang/maji.htm
13,Wang Yu,王宇,https://www.yaogun.com/artist/shijiazhuang/wangyu.htm
14,Xiaoqiang,小強,https://www.yaogun.com/artist/shijiazhuang/xiaoqiang.htm
15,Xie Chensheng,謝晨生,https://www.yaogun.com/artist/shijiazhuang/xiechensheng.htm
16,Xun Liang,荀亮,https://www.yaogun.com/artist/shijiazhuang/xunliang.htm
17,Yang Guang,楊光,https://www.yaogun.com/artist/shijiazhuang/yangguang.htm
18,王宇,河北省・石家庄（BAND）,https://www.yaogun.com/artist/shijiazhuang/zhaofan.htm
19,Ahbc,AHBC,https://www.yaogun.com/artist/shijiazhuang/ahbc.htm
20,Almond/Biantao,扁桃,https://www.yaogun.com/artist/shijiazhuang/biantao.htm
21,Anshi,暗示,https://www.yaogun.com/artist/shijiazhuang/anshi.htm
22,Baipishu,白皮書,https://www.yaogun.com/artist/shijiazhuang/baipishu.htm
23,Bangbangtang,棒棒糖,https://www.yaogun.com/artist/shijiazhuang/bangbangtang.htm
24,Bashiniandai,80年代,https://www.yaogun.com/artist/shijiazhuang/80niandai.htm
25,Ben3niandai,奔3年代,https://www.yaogun.com/artist/shijiazhuang/ben3niandai.htm
26,Bescatterd,BESCATTERD,https://www.yaogun.com/artist/shijiazhuang/bescatterd.htm
27,Bianjirenqun,邊際人群,https://www.yaogun.com/artist/shijiazhuang/bianjirenqun.htm
