,en_name,cn_name,link
1,Gao Xiang,高翔,tangshan/gaoxiang.htm
2,Liu Hangyi,劉航怡,tangshan/liuhangyi.htm
3,Li Peng,李鵬,tangshan/lipeng.htm
4,Liu Yang,劉洋,tangshan/liuyang.htm
5,Meng Jianjun,孟建軍,tangshan/mengjianjun.htm
6,Tang Chao,矧,tangshan/tangchao.htm
7,Tong Zhiyong,［ｲ冬］志勇,tangshan/tongzhiyong.htm
8,Wang Tao,王濤,tangshan/wangtao.htm
9,Yang Chen,19方,tangshan/yangchen.htm
10,Zhang Yi,自我陶醉,tangshan/zhangyi.htm
11,Zhu Hong,朱紅,tangshan/zhuhong.htm
12,All Of This,ALL OF THIS,tangshan/allofthis.htm
13,Anmei de yewan,暗昧的夜晩,tangshan/anmeideyewan.htm
14,Armani,ARMANI,tangshan/armani.htm
15,Bei maizang de aiqing,被埋葬的愛情,tangshan/bmcdaq.htm
16,Blood Rainbow,血彩,tangshan/xuecai.htm
17,Blood Saint/,血之聖徒,tangshan/xzst.htm
18,Chengsebingtang,橙色冰糖,tangshan/csbt.htm
19,Chilunhuanghou,齒輪皇后,tangshan/clhh.htm
20,Chuangketie,創可貼,tangshan/chuangketie.htm
21,Dipingxian,地平綫,tangshan/dipingxian.htm
22,Di3kongjian,深虹,tangshan/shenhong.htm
23,Dongdong,東東,tangshan/dongdong.htm
24,Eyesiji,厄夜死祭,tangshan/eyesiji.htm
25,Fannizhe,叛逆者,tangshan/fannizhe.htm
26,Father/Laozi,老子,tangshan/laozi.htm
27,Fei,飛,tangshan/fei.htm
28,Fenliezheng,分裂症,tangshan/fenliezheng.htm
29,Fensui,粉碎,tangshan/fensui.htm
30,Flowersun,FLOWERSUN,tangshan/flowersun.htm
31,Guihudie,鬼蝴蝶,tangshan/guihudie.htm
32,Hongsefengbao,紅色風暴,tangshan/hsfb.htm
33,Huoqianghaidao,火槍海盗,tangshan/hqhd.htm
34,Huoshankou,火山口,tangshan/huoshankou.htm
35,Jam/Guojiang,果醤,tangshan/guojiang.htm
36,Jianxin,建[金,tangshan/jianxin.htm
37,Jiedao,街道,tangshan/jiedao.htm
38,Jifeng,季風,tangshan/jifeng.htm
39,Leo,LEO,tangshan/leo.htm
40,Linghun Shourongsuo,靈魂収容所,tangshan/lhsrs.htm
41,Lvse bingtuan,緑色兵團,tangshan/lvsebingtuan.htm
42,Metal Gear,Metal Gear,tangshan/metalgear.htm
43,Monkey Style/Houyangr,猴様兒,tangshan/monkeystyle.htm
44,No Face,NO FACE,tangshan/noface.htm
45,Pianzhijiyin,偏執基因,tangshan/pianzhijiyin.htm
46,Pitch/Liqing,瀝青,tangshan/liqing.htm
47,Qiji,奇迹,tangshan/qiji.htm
48,Re,熱,tangshan/re.htm
49,Red Shadow,RED SHADOW,tangshan/redshadow.htm
50,S-80,S-80,tangshan/s80.htm
51,Saiheyuan,賽河源,tangshan/saiheyuan.htm
52,Sanshiliu du,36℃,tangshan/36du.htm
53,Shendu34,深度34,tangshan/shendu34.htm
54,Shikongsuidao,時空隧道,tangshan/shikongsuidao.htm
55,Shiyue,弑鉞,tangshan/shiyue.htm
56,Shujiang,蜀將,tangshan/shujiang.htm
57,Size L,SIZE L,tangshan/sizel.htm
58,S.O.P.M.O.D,S.O.P.M.O.D,tangshan/sopmod.htm
59,Summercool,SUMMERCOOL,tangshan/summercool.htm
60,Super Jam/,超級果醤,tangshan/chaojiguojiang.htm
61,Tangguopu,糖果鋪,tangshan/tangguopu.htm
62,Tanli,彈力,tangshan/tanli.htm
63,The Burning Maches,燃燒的火柴,tangshan/ranshaodehuochai.htm
64,Tianhong,天紅,tangshan/tianhong.htm
65,Tiedan,鐵蛋,tangshan/tiedan.htm
66,Tongfei,同飛,tangshan/tongfei.htm
67,T.R.O.T.R,T.R.O.T.R,tangshan/trotr.htm
68,Wanxiao,玩笑,tangshan/wanxiao.htm
69,Wing/Yi,翼,tangshan/yi.htm
70,X Power,X POWER,tangshan/xpower.htm
71,Yangguang,陽光,tangshan/yangguang.htm
72,Yizu,異族,tangshan/yizu.htm
73,Yuanji,圓寂,tangshan/yuanji.htm
74,Zaoyin,噪音,tangshan/zaoyin.htm
75,Zhanhun,戰魂,tangshan/zhanhun.htm
