,en_name,cn_name,link
1,Gao Wei,高薇,https://www.yaogun.com/artist/tianjin/gaowei.htm
2,He Gang,賀剛,https://www.yaogun.com/artist/tianjin/hegang.htm
3,Li Hongyu,燃燒,https://www.yaogun.com/artist/tianjin/lihongyu.htm
4,Li Ping,李平,https://www.yaogun.com/artist/tianjin/liping.htm
5,Liu Wei,劉偉,https://www.yaogun.com/artist/tianjin/liuwei.htm
6,Meng Fanhao,孟繁浩,https://www.yaogun.com/artist/tianjin/mengfanhao.htm
7,Meng Xianji,孟憲吉,https://www.yaogun.com/artist/tianjin/mengxianji.htm
8,Mr.Sagy,Mr.Sagy,https://www.yaogun.com/artist/tianjin/mrsagy.htm
9,Punkwei,PUNKWEI,https://www.yaogun.com/artist/tianjin/punkwei.htm
10,Sui Xin,隨心,https://www.yaogun.com/artist/tianjin/suixin.htm
11,Wang Bao,王寶,https://www.yaogun.com/artist/tianjin/wangbao.htm
12,Wang Changwei,王昌威,https://www.yaogun.com/artist/tianjin/wangchangwei.htm
13,Wang Kaige,新聞小組,https://www.yaogun.com/artist/tianjin/wangkaige.htm
14,Wang Kuan,王寛,https://www.yaogun.com/artist/tianjin/wangkuan.htm
15,Wang Yanan,王雅楠,https://www.yaogun.com/artist/tianjin/wangyanan.htm
16,Yang Tao,楊濤,https://www.yaogun.com/artist/tianjin/yangtao.htm
17,Zhang Wei,進化元素,https://www.yaogun.com/artist/tianjin/zhangwei.htm
18,Zhao Junchao,趙[王君]超,https://www.yaogun.com/artist/tianjin/zhaojunchao.htm
19,Zhong Hao,鐘浩,https://www.yaogun.com/artist/tianjin/zhonghao.htm
20,Zhu Minghua,朱明華,https://www.yaogun.com/artist/tianjin/zhuminghua.htm
21,After Talk,AFTER TALK,https://www.yaogun.com/artist/tianjin/aftertalk.htm
22,Air crash,AIR CRASH,https://www.yaogun.com/artist/tianjin/aircrash.htm
23,Andingyinsu,安定因素,https://www.yaogun.com/artist/tianjin/andingyinsu.htm
24,"Angel
        Monoplane/Danyitianshi",單翼天使,https://www.yaogun.com/artist/tianjin/danyitianshi.htm
25,Anquanmoshi,安全模式,https://www.yaogun.com/artist/tianjin/anquanmoshi.htm
26,Anri touying quyituan,暗日投影曲藝團,https://www.yaogun.com/artist/tianjin/artyqyt.htm
27,Antibody/Kangti,抗體,https://www.yaogun.com/artist/tianjin/kangti.htm
28,Anyeyinying,暗夜陰影,https://www.yaogun.com/artist/tianjin/anyeyinying.htm
29,An zhi miantuan,暗之面團,https://www.yaogun.com/artist/tianjin/anzhimiantuan.htm
30,Aolufei,奥路菲,https://www.yaogun.com/artist/tianjin/aolufei.htm
31,Autopsia/Jiepou,解剖,https://www.yaogun.com/artist/tianjin/jiepou.htm
32,Avatar/Huasheng,化身,https://www.yaogun.com/artist/tianjin/huasheng.htm
33,AZ,性門診,https://www.yaogun.com/artist/tianjin/xingmenzhen.htm
34,Back,BACK,https://www.yaogun.com/artist/tianjin/back.htm
35,Badsun,BADSUN,https://www.yaogun.com/artist/tianjin/badsun.htm
